Country/Region,Year-Month,Confirmed,Deaths,Recovered
Afghanistan,2020-01-01,0,0,0
Afghanistan,2020-02-01,30,0,0
Afghanistan,2020-03-01,1141,21,26
Afghanistan,2020-04-01,25152,812,2927
Afghanistan,2020-05-01,222720,4924,24129
Afghanistan,2020-06-01,751685,14982,184768
Afghanistan,2020-07-01,1079412,33439,688117
Afghanistan,2020-08-01,1165099,42108,843438 
Afghanistan,2020-09-01,1166401,43060,949104
Afghanistan,2020-10-01,1246695,46274,1039280
Afghanistan,2020-11-01,1303865,48777,1058724
Afghanistan,2020-12-01,1539551,62050,1207801
Afghanistan,2021-01-01,1671259,71891,1403684
Afghanistan,2021-02-01,1553102,67864,1358287
Afghanistan,2021-03-01,1737068,76227,1541980
Afghanistan,2021-04-01,1733260,76300,1566429
Afghanistan,2021-05-01,1991950,85386,1710784
Afghanistan,2021-06-01,2848717,114208,1887517
Afghanistan,2021-07-01,4241348,184478,2492541
Afghanistan,2021-08-01,4696019,216817,330344
Afghanistan,2021-09-01,4628009,215185,0
Afghanistan,2021-10-01,3734181,173550,0
Albania,2020-01-01,0,0,0
Albania,2020-02-01,0,0,0
Albania,2020-03-01,2232,91,241
Albania,2020-04-01,15632,728,7902
Albania,2020-05-01,28873,975,21760
Albania,2020-06-01,50880,1221,32742
Albania,2020-07-01,119660,3302,67686
Albania,2020-08-01,230278,6945,120294
Albania,2020-09-01,350148,10286,200469
Albania,2020-10-01,523084,13731,305370
Albania,2020-11-01,866248,19239,424181
Albania,2020-12-01,1540509,31857,819127
Albania,2021-01-01,2088163,39480,1250570
Albania,2021-02-01,2610775,44037,1622660
Albania,2021-03-01,3652195,63810,2525857
Albania,2021-04-01,3865660,69887,3010039
Albania,2021-05-01,4089156,75267,3795097
Albania,2021-06-01,3973546,73604,3894898
Albania,2021-07-01,4113962,76140,4032655
Albania,2021-08-01,4262873,76586,521104
Albania,2021-09-01,4784904,77186,0
Albania,2021-10-01,4225339,66889,0
Algeria,2020-01-01,0,0,0
Algeria,2020-02-01,5,0,0
Algeria,2020-03-01,4823,324,594
Algeria,2020-04-01,69497,9197,24072
Algeria,2020-05-01,211394,16901,109804
Algeria,2020-06-01,337819,23600,233399
Algeria,2020-07-01,674286,32720,467472
Algeria,2020-08-01,1185076,42428,826991
Algeria,2020-09-01,1458290,48964,1026971
Algeria,2020-10-01,1683631,57192,1177057
Algeria,2020-11-01,2074384,65248,1373852
Algeria,2020-12-01,2884170,81232,1902624
Algeria,2021-01-01,3212268,87734,2181520
Algeria,2021-02-01,3096714,82303,2126923
Algeria,2021-03-01,3577898,94314,2481861
Algeria,2021-04-01,3581338,94693,2495622
Algeria,2021-05-01,3890403,104551,2710001
Algeria,2021-06-01,4030589,107894,2805260
Algeria,2021-07-01,4734511,121911,3257465
Algeria,2021-08-01,5788899,149055,468745
Algeria,2021-09-01,6016238,168391,0
Algeria,2021-10-01,4915027,140558,0
Andorra,2020-01-01,0,0,0
Andorra,2020-02-01,0,0,0
Andorra,2020-03-01,2787,39,37
Andorra,2020-04-01,19106,917,5636
Andorra,2020-05-01,23498,1518,18505
Andorra,2020-06-01,25511,1545,23239
Andorra,2020-07-01,27174,1612,24877
Andorra,2020-08-01,31382,1632,26677
Andorra,2020-09-01,45275,1590,32128
Andorra,2020-10-01,103067,1895,69118
Andorra,2020-11-01,174907,2266,143348
Andorra,2020-12-01,230115,2478,209606
Andorra,2021-01-01,279226,2805,253747
Andorra,2021-02-01,293412,2986,277194
Andorra,2021-03-01,352375,3499,336906
Andorra,2021-04-01,380633,3637,361236
Andorra,2021-05-01,418754,3935,407093
Andorra,2021-06-01,414764,3810,408532
Andorra,2021-07-01,442259,3939,430536
Andorra,2021-08-01,462595,3999,57234
Andorra,2021-09-01,453489,3900,0
Andorra,2021-10-01,367629,3120,0
Angola,2020-01-01,0,0,0
Angola,2020-02-01,0,0,0
Angola,2020-03-01,48,6,1
Angola,2020-04-01,601,60,129
Angola,2020-05-01,1639,85,466
Angola,2020-06-01,4660,210,1668
Angola,2020-07-01,20049,915,5708
Angola,2020-08-01,59160,2627,22283
Angola,2020-09-01,111469,4268,41899
Angola,2020-10-01,233349,7325,94176
Angola,2020-11-01,404417,9636,196092
Angola,2020-12-01,508018,11686,286751
Angola,2021-01-01,580289,13481,473400
Angola,2021-02-01,569508,13697,527106
Angola,2021-03-01,666295,16193,618101
Angola,2021-04-01,726071,16851,668606
Angola,2021-05-01,948207,20979,802500
Angola,2021-06-01,1109740,25209,924203
Angola,2021-07-01,1260968,29592,1077983
Angola,2021-08-01,1394599,34363,154728
Angola,2021-09-01,1552460,41306,0
Angola,2021-10-01,1479939,39296,0
Antigua and Barbuda,2020-01-01,0,0,0
Antigua and Barbuda,2020-02-01,0,0,0
Antigua and Barbuda,2020-03-01,61,0,0
Antigua and Barbuda,2020-04-01,617,62,125
Antigua and Barbuda,2020-05-01,776,93,561
Antigua and Barbuda,2020-06-01,1026,90,629
Antigua and Barbuda,2020-07-01,2366,93,1551
Antigua and Barbuda,2020-08-01,2881,93,2558
Antigua and Barbuda,2020-09-01,2886,90,2743
Antigua and Barbuda,2020-10-01,3586,93,3163
Antigua and Barbuda,2020-11-01,4047,107,3745
Antigua and Barbuda,2020-12-01,4656,143,4343
Antigua and Barbuda,2021-01-01,5759,175,4906
Antigua and Barbuda,2021-02-01,12957,279,5943
Antigua and Barbuda,2021-03-01,30085,770,18051
Antigua and Barbuda,2021-04-01,36073,911,28597
Antigua and Barbuda,2021-05-01,38611,1144,35462
Antigua and Barbuda,2021-06-01,37885,1260,36515
Antigua and Barbuda,2021-07-01,39480,1310,37977
Antigua and Barbuda,2021-08-01,44775,1335,4944
Antigua and Barbuda,2021-09-01,71908,1627,0
Antigua and Barbuda,2021-10-01,90267,2204,0
Argentina,2020-01-01,0,0,0
Argentina,2020-02-01,0,0,0
Argentina,2020-03-01,6529,158,875
Argentina,2020-04-01,77576,3482,19590
Argentina,2020-05-01,275556,11562,84929
Argentina,2020-06-01,1091252,26775,335157
Argentina,2020-07-01,3728771,69223,1556787
Argentina,2020-08-01,9244163,183974,6029870
Argentina,2020-09-01,17545982,371729,13413943
Argentina,2020-10-01,29922509,795200,24249610
Argentina,2020-11-01,39307295,1062692,33912316
Argentina,2020-12-01,47136788,1278031,41776579
Argentina,2021-01-01,55312462,1412028,48805346
Argentina,2021-02-01,56733848,1407809,51092582
Argentina,2021-03-01,68713761,1674835,62045827
Argentina,2021-04-01,79416752,1774449,70049590
Argentina,2021-05-01,103825064,2196043,92046916
Argentina,2021-06-01,125059837,2601189,112898859
Argentina,2021-07-01,146386195,3120501,134893683
Argentina,2021-08-01,157553999,3383419,18397865
Argentina,2021-09-01,156899177,3415136,0
Argentina,2021-10-01,126453336,2773202,0
Armenia,2020-01-01,0,0,0
Armenia,2020-02-01,0,0,0
Armenia,2020-03-01,4099,12,205
Armenia,2020-04-01,36511,527,12116
Armenia,2020-05-01,151445,2012,63541
Armenia,2020-06-01,520967,8745,222445
Armenia,2020-07-01,1026463,18701,671719
Armenia,2020-08-01,1286089,25394,1059630
Armenia,2020-09-01,1398359,27637,1251850
Armenia,2020-10-01,2012415,33744,1490885
Armenia,2020-11-01,3480514,53074,2395256
Armenia,2020-12-01,4636215,78705,3964417
