Country/Region,Year-Month,Case
Afghanistan,2020-01-01,0
Afghanistan,2020-02-01,30
Afghanistan,2020-03-01,1141
Afghanistan,2020-04-01,25152
Afghanistan,2020-05-01,222720
Afghanistan,2020-06-01,751685
Afghanistan,2020-07-01,1079412
Afghanistan,2020-08-01,1165099
Afghanistan,2020-09-01,1166401
Afghanistan,2020-10-01,1246695
Afghanistan,2020-11-01,1303865
Afghanistan,2020-12-01,1539551
Afghanistan,2021-01-01,1671259
Afghanistan,2021-02-01,1553102
Afghanistan,2021-03-01,1737068
Afghanistan,2021-04-01,1733260
Afghanistan,2021-05-01,1991950
Afghanistan,2021-06-01,2848717
Afghanistan,2021-07-01,4241348
Afghanistan,2021-08-01,4696019
Afghanistan,2021-09-01,4628009
Afghanistan,2021-10-01,3734181
Albania,2020-01-01,0
Albania,2020-02-01,0
Albania,2020-03-01,2232
Albania,2020-04-01,15632
Albania,2020-05-01,28873
Albania,2020-06-01,50880
Albania,2020-07-01,119660
Albania,2020-08-01,230278
Albania,2020-09-01,350148
Albania,2020-10-01,523084
Albania,2020-11-01,866248
Albania,2020-12-01,1540509
Albania,2021-01-01,2088163
Albania,2021-02-01,2610775
Albania,2021-03-01,3652195
Albania,2021-04-01,3865660
Albania,2021-05-01,4089156
Albania,2021-06-01,3973546
Albania,2021-07-01,4113962
Albania,2021-08-01,4262873
Albania,2021-09-01,4784904
Albania,2021-10-01,4225339
Algeria,2020-01-01,0
Algeria,2020-02-01,5
Algeria,2020-03-01,4823
Algeria,2020-04-01,69497
Algeria,2020-05-01,211394
Algeria,2020-06-01,337819
Algeria,2020-07-01,674286
Algeria,2020-08-01,1185076
Algeria,2020-09-01,1458290
Algeria,2020-10-01,1683631
Algeria,2020-11-01,2074384
Algeria,2020-12-01,2884170
Algeria,2021-01-01,3212268
Algeria,2021-02-01,3096714
Algeria,2021-03-01,3577898
Algeria,2021-04-01,3581338
Algeria,2021-05-01,3890403
Algeria,2021-06-01,4030589
Algeria,2021-07-01,4734511
Algeria,2021-08-01,5788899
Algeria,2021-09-01,6016238
Algeria,2021-10-01,4915027
Andorra,2020-01-01,0
Andorra,2020-02-01,0
Andorra,2020-03-01,2787
Andorra,2020-04-01,19106
Andorra,2020-05-01,23498
Andorra,2020-06-01,25511
Andorra,2020-07-01,27174
Andorra,2020-08-01,31382
Andorra,2020-09-01,45275
Andorra,2020-10-01,103067
Andorra,2020-11-01,174907
Andorra,2020-12-01,230115
Andorra,2021-01-01,279226
Andorra,2021-02-01,293412
Andorra,2021-03-01,352375
Andorra,2021-04-01,380633
Andorra,2021-05-01,418754
Andorra,2021-06-01,414764
Andorra,2021-07-01,442259
Andorra,2021-08-01,462595
Andorra,2021-09-01,453489
Andorra,2021-10-01,367629
Angola,2020-01-01,0
Angola,2020-02-01,0
Angola,2020-03-01,48
Angola,2020-04-01,601
Angola,2020-05-01,1639
Angola,2020-06-01,4660
Angola,2020-07-01,20049
Angola,2020-08-01,59160
Angola,2020-09-01,111469
