Country/Region,Year-Month,Case
Afghanistan,2020-01-01,0
Afghanistan,2020-02-01,0
Afghanistan,2020-03-01,21
Afghanistan,2020-04-01,812
Afghanistan,2020-05-01,4924
Afghanistan,2020-06-01,14982
Afghanistan,2020-07-01,33439
Afghanistan,2020-08-01,42108
Afghanistan,2020-09-01,43060
Afghanistan,2020-10-01,46274
Afghanistan,2020-11-01,48777
Afghanistan,2020-12-01,62050
Afghanistan,2021-01-01,71891
Afghanistan,2021-02-01,67864
Afghanistan,2021-03-01,76227
Afghanistan,2021-04-01,76300
Afghanistan,2021-05-01,85386
Afghanistan,2021-06-01,114208
Afghanistan,2021-07-01,184478
Afghanistan,2021-08-01,216817
Afghanistan,2021-09-01,215185
Afghanistan,2021-10-01,173550
Albania,2020-01-01,0
Albania,2020-02-01,0
Albania,2020-03-01,91
Albania,2020-04-01,728
Albania,2020-05-01,975
Albania,2020-06-01,1221
Albania,2020-07-01,3302
Albania,2020-08-01,6945
Albania,2020-09-01,10286
Albania,2020-10-01,13731
Albania,2020-11-01,19239
Albania,2020-12-01,31857
Albania,2021-01-01,39480
Albania,2021-02-01,44037
Albania,2021-03-01,63810
Albania,2021-04-01,69887
Albania,2021-05-01,75267
Albania,2021-06-01,73604
Albania,2021-07-01,76140
Albania,2021-08-01,76586
Albania,2021-09-01,77186
Albania,2021-10-01,66889
Algeria,2020-01-01,0
Algeria,2020-02-01,0
Algeria,2020-03-01,324
Algeria,2020-04-01,9197
Algeria,2020-05-01,16901
Algeria,2020-06-01,23600
Algeria,2020-07-01,32720
Algeria,2020-08-01,42428
Algeria,2020-09-01,48964
Algeria,2020-10-01,57192
Algeria,2020-11-01,65248
Algeria,2020-12-01,81232
Algeria,2021-01-01,87734
Algeria,2021-02-01,82303
Algeria,2021-03-01,94314
Algeria,2021-04-01,94693
Algeria,2021-05-01,104551
Algeria,2021-06-01,107894
Algeria,2021-07-01,121911
Algeria,2021-08-01,149055
Algeria,2021-09-01,168391
Algeria,2021-10-01,140558
Andorra,2020-01-01,0
Andorra,2020-02-01,0
Andorra,2020-03-01,39
Andorra,2020-04-01,917
Andorra,2020-05-01,1518
Andorra,2020-06-01,1545
Andorra,2020-07-01,1612
Andorra,2020-08-01,1632
Andorra,2020-09-01,1590
Andorra,2020-10-01,1895
Andorra,2020-11-01,2266
Andorra,2020-12-01,2478
Andorra,2021-01-01,2805
Andorra,2021-02-01,2986
Andorra,2021-03-01,3499
Andorra,2021-04-01,3637
Andorra,2021-05-01,3935
Andorra,2021-06-01,3810
Andorra,2021-07-01,3939
Andorra,2021-08-01,3999
Andorra,2021-09-01,3900
Andorra,2021-10-01,3120
Angola,2020-01-01,0
Angola,2020-02-01,0
Angola,2020-03-01,6
Angola,2020-04-01,60
Angola,2020-05-01,85
Angola,2020-06-01,210
Angola,2020-07-01,915
Angola,2020-08-01,2627
Angola,2020-09-01,4268
Angola,2020-10-01,7325
Angola,2020-11-01,9636
Angola,2020-12-01,11686
Angola,2021-01-01,13481
Angola,2021-02-01,13697
Angola,2021-03-01,16193
Angola,2021-04-01,16851
Angola,2021-05-01,20979
Angola,2021-06-01,25209
Angola,2021-07-01,29592
Angola,2021-08-01,34363
Angola,2021-09-01,41306
Angola,2021-10-01,39296
Antigua and Barbuda,2020-01-01,0
Antigua and Barbuda,2020-02-01,0
Antigua and Barbuda,2020-03-01,0
Antigua and Barbuda,2020-04-01,62
Antigua and Barbuda,2020-05-01,93
Antigua and Barbuda,2020-06-01,90
Antigua and Barbuda,2020-07-01,93
Antigua and Barbuda,2020-08-01,93
Antigua and Barbuda,2020-09-01,90
Antigua and Barbuda,2020-10-01,93
Antigua and Barbuda,2020-11-01,107
Antigua and Barbuda,2020-12-01,143
Antigua and Barbuda,2021-01-01,175
Antigua and Barbuda,2021-02-01,279
Antigua and Barbuda,2021-03-01,770
Antigua and Barbuda,2021-04-01,911
Antigua and Barbuda,2021-05-01,1144
Antigua and Barbuda,2021-06-01,1260
Antigua and Barbuda,2021-07-01,1310
Antigua and Barbuda,2021-08-01,1335
Antigua and Barbuda,2021-09-01,1627
Antigua and Barbuda,2021-10-01,2204
Argentina,2020-01-01,0
Argentina,2020-02-01,0
Argentina,2020-03-01,158
Argentina,2020-04-01,3482
Argentina,2020-05-01,11562
Argentina,2020-06-01,26775
Argentina,2020-07-01,69223
Argentina,2020-08-01,183974
Argentina,2020-09-01,371729
Argentina,2020-10-01,795200
Argentina,2020-11-01,1062692
Argentina,2020-12-01,1278031
Argentina,2021-01-01,1412028
Argentina,2021-02-01,1407809
Argentina,2021-03-01,1674835
Argentina,2021-04-01,1774449
Argentina,2021-05-01,2196043
Argentina,2021-06-01,2601189
Argentina,2021-07-01,3120501
Argentina,2021-08-01,3383419
Argentina,2021-09-01,3415136
Argentina,2021-10-01,2773202
Armenia,2020-01-01,0
Armenia,2020-02-01,0
Armenia,2020-03-01,12
Armenia,2020-04-01,527
Armenia,2020-05-01,2012
Armenia,2020-06-01,8745
Armenia,2020-07-01,18701
Armenia,2020-08-01,25394
Armenia,2020-09-01,27637
Armenia,2020-10-01,33744
Armenia,2020-11-01,53074
Armenia,2020-12-01,78705
Armenia,2021-01-01,92132
Armenia,2021-02-01,87995
Armenia,2021-03-01,102663
Armenia,2021-04-01,114772
Armenia,2021-05-01,133516
Armenia,2021-06-01,134539
Armenia,2021-07-01,141368
Armenia,2021-08-01,146024
Armenia,2021-09-01,152283
Armenia,2021-10-01,135474
Australia,2020-01-01,0
Australia,2020-02-01,0
Australia,2020-03-01,190
Australia,2020-04-01,1817
Australia,2020-05-01,3071
Australia,2020-06-01,3075
Australia,2020-07-01,3996
Australia,2020-08-01,13006
Australia,2020-09-01,24475
Australia,2020-10-01,27949
Australia,2020-11-01,27212
Australia,2020-12-01,28153
Australia,2021-01-01,28179
Australia,2021-02-01,25452
Australia,2021-03-01,28179
Australia,2021-04-01,27289
Australia,2021-05-01,28210
Australia,2021-06-01,27300
Australia,2021-07-01,28351
Australia,2021-08-01,29910
Australia,2021-09-01,34262
Australia,2021-10-01,35607
Austria,2020-01-01,0
Austria,2020-02-01,0
Austria,2020-03-01,626
Austria,2020-04-01,11663
Austria,2020-05-01,19474
Austria,2020-06-01,20495
Austria,2020-07-01,21997
Austria,2020-08-01,22523
Austria,2020-09-01,22824
Austria,2020-10-01,28062
Austria,2020-11-01,59076
Austria,2020-12-01,149705
Austria,2021-01-01,217497
Austria,2021-02-01,229966
Austria,2021-03-01,277208
Austria,2021-04-01,294285
Austria,2021-05-01,324107
Austria,2021-06-01,319981
Austria,2021-07-01,332483
Austria,2021-08-01,333501
Austria,2021-09-01,326302
Austria,2021-10-01,267064
Azerbaijan,2020-01-01,0
Azerbaijan,2020-02-01,0
Azerbaijan,2020-03-01,37
Azerbaijan,2020-04-01,429
Azerbaijan,2020-05-01,1227
Azerbaijan,2020-06-01,3939
Azerbaijan,2020-07-01,10407
Azerbaijan,2020-08-01,15562
Azerbaijan,2020-09-01,16972
Azerbaijan,2020-10-01,19697
Azerbaijan,2020-11-01,30250
Azerbaijan,2020-12-01,63398
Azerbaijan,2021-01-01,91932
Azerbaijan,2021-02-01,89032
Azerbaijan,2021-03-01,103279
Azerbaijan,2021-04-01,121720
Azerbaijan,2021-05-01,147629
Azerbaijan,2021-06-01,148624
Azerbaijan,2021-07-01,154791
Azerbaijan,2021-08-01,162064
Azerbaijan,2021-09-01,184648
Azerbaijan,2021-10-01,160886
Bahamas,2020-01-01,0
Bahamas,2020-02-01,0
Bahamas,2020-03-01,0
Bahamas,2020-04-01,235
Bahamas,2020-05-01,341
Bahamas,2020-06-01,330
Bahamas,2020-07-01,347
Bahamas,2020-08-01,792
Bahamas,2020-09-01,2105
Bahamas,2020-10-01,3612
Bahamas,2020-11-01,4721
Bahamas,2020-12-01,5125
Bahamas,2021-01-01,5419
Bahamas,2021-02-01,4977
Bahamas,2021-03-01,5736
Bahamas,2021-04-01,5771
Bahamas,2021-05-01,6761
Bahamas,2021-06-01,7151
Bahamas,2021-07-01,8208
Bahamas,2021-08-01,9890
Bahamas,2021-09-01,14282
Bahamas,2021-10-01,14215
Bahrain,2020-01-01,0
Bahrain,2020-02-01,0
Bahrain,2020-03-01,41
Bahrain,2020-04-01,190
Bahrain,2020-05-01,349
Bahrain,2020-06-01,1441
Bahrain,2020-07-01,3672
Bahrain,2020-08-01,5311
Bahrain,2020-09-01,6496
Bahrain,2020-10-01,8985
Bahrain,2020-11-01,10017
Bahrain,2020-12-01,10767
Bahrain,2021-01-01,11185
Bahrain,2021-02-01,11365
Bahrain,2021-03-01,15134
Bahrain,2021-04-01,17448
Bahrain,2021-05-01,23798
Bahrain,2021-06-01,36929
Bahrain,2021-07-01,42642
Bahrain,2021-08-01,42945
Bahrain,2021-09-01,41648
Bahrain,2021-10-01,33376
Bangladesh,2020-01-01,0
Bangladesh,2020-02-01,0
Bangladesh,2020-03-01,49
Bangladesh,2020-04-01,2153
Bangladesh,2020-05-01,10746
Bangladesh,2020-06-01,37194
Bangladesh,2020-07-01,77720
Bangladesh,2020-08-01,114101
Bangladesh,2020-09-01,143910
Bangladesh,2020-10-01,174118
Bangladesh,2020-11-01,187421
Bangladesh,2020-12-01,221327
Bangladesh,2021-01-01,244126
Bangladesh,2021-02-01,231880
Bangladesh,2021-03-01,267616
Bangladesh,2021-04-01,305973
Bangladesh,2021-05-01,376107
Bangladesh,2021-06-01,401202
Bangladesh,2021-07-01,542385
Bangladesh,2021-08-01,745570
Bangladesh,2021-09-01,810568
Bangladesh,2021-10-01,664904
Barbados,2020-01-01,0
Barbados,2020-02-01,0
Barbados,2020-03-01,0
Barbados,2020-04-01,122
Barbados,2020-05-01,217
Barbados,2020-06-01,210
Barbados,2020-07-01,217
Barbados,2020-08-01,217
Barbados,2020-09-01,210
Barbados,2020-10-01,217
Barbados,2020-11-01,210
Barbados,2020-12-01,217
Barbados,2021-01-01,258
Barbados,2021-02-01,678
Barbados,2021-03-01,1196
Barbados,2021-04-01,1311
Barbados,2021-05-01,1426
Barbados,2021-06-01,1410
Barbados,2021-07-01,1480
Barbados,2021-08-01,1492
Barbados,2021-09-01,1715
Barbados,2021-10-01,2466
Belarus,2020-01-01,0
Belarus,2020-02-01,0
Belarus,2020-03-01,1
Belarus,2020-04-01,1171
Belarus,2020-05-01,4986
Belarus,2020-06-01,9483
Belarus,2020-07-01,14953
Belarus,2020-08-01,19080
Belarus,2020-09-01,22796
Belarus,2020-10-01,28380
Belarus,2020-11-01,31736
Belarus,2020-12-01,40022
Belarus,2021-01-01,48780
Belarus,2021-02-01,51861
Belarus,2021-03-01,65544
Belarus,2021-04-01,71955
Belarus,2021-05-01,83744
Belarus,2021-06-01,90040
Belarus,2021-07-01,102454
Belarus,2021-08-01,112135
Belarus,2021-09-01,118858
Belarus,2021-10-01,103956
Belgium,2020-01-01,0
Belgium,2020-02-01,0
Belgium,2020-03-01,3145
Belgium,2020-04-01,132664
Belgium,2020-05-01,273995
Belgium,2020-06-01,289543
Belgium,2020-07-01,303682
Belgium,2020-08-01,307232
Belgium,2020-09-01,298143
Belgium,2020-10-01,325069
Belgium,2020-11-01,432647
Belgium,2020-12-01,565082
Belgium,2021-01-01,631655
Belgium,2021-02-01,606413
Belgium,2021-03-01,698886
Belgium,2021-04-01,709354
Belgium,2021-05-01,764910
Belgium,2021-06-01,752857
Belgium,2021-07-01,781478
Belgium,2021-08-01,784440
Belgium,2021-09-01,764611
Belgium,2021-10-01,617320
Belize,2020-01-01,0
Belize,2020-02-01,0
Belize,2020-03-01,0
Belize,2020-04-01,46
Belize,2020-05-01,62
Belize,2020-06-01,60
Belize,2020-07-01,62
Belize,2020-08-01,163
Belize,2020-09-01,578
Belize,2020-10-01,1286
Belize,2020-11-01,2883
Belize,2020-12-01,6300
Belize,2021-01-01,8649
Belize,2021-02-01,8716
Belize,2021-03-01,9795
Belize,2021-04-01,9569
Belize,2021-05-01,10017
Belize,2021-06-01,9805
Belize,2021-07-01,10288
Belize,2021-08-01,10756
Belize,2021-09-01,11541
Belize,2021-10-01,10664
Benin,2020-01-01,0
Benin,2020-02-01,0
Benin,2020-03-01,0
Benin,2020-04-01,25
Benin,2020-05-01,73
Benin,2020-06-01,264
Benin,2020-07-01,876
Benin,2020-08-01,1195
Benin,2020-09-01,1201
Benin,2020-10-01,1271
Benin,2020-11-01,1284
Benin,2020-12-01,1363
Benin,2021-01-01,1432
Benin,2021-02-01,1711
Benin,2021-03-01,2576
Benin,2021-04-01,2852
Benin,2021-05-01,3119
Benin,2021-06-01,3084
Benin,2021-07-01,3289
Benin,2021-08-01,3629
Benin,2021-09-01,4331
Benin,2021-10-01,3840
Bhutan,2020-01-01,0
Bhutan,2020-02-01,0
Bhutan,2020-03-01,0
Bhutan,2020-04-01,0
Bhutan,2020-05-01,0
Bhutan,2020-06-01,0
Bhutan,2020-07-01,0
Bhutan,2020-08-01,0
Bhutan,2020-09-01,0
Bhutan,2020-10-01,0
Bhutan,2020-11-01,0
Bhutan,2020-12-01,0
Bhutan,2021-01-01,24
Bhutan,2021-02-01,28
Bhutan,2021-03-01,31
Bhutan,2021-04-01,30
Bhutan,2021-05-01,31
Bhutan,2021-06-01,30
Bhutan,2021-07-01,48
Bhutan,2021-08-01,82
Bhutan,2021-09-01,90
Bhutan,2021-10-01,72
Bolivia,2020-01-01,0
Bolivia,2020-02-01,0
Bolivia,2020-03-01,11
Bolivia,2020-04-01,887
Bolivia,2020-05-01,5482
Bolivia,2020-06-01,20104
Bolivia,2020-07-01,62947
Bolivia,2020-08-01,126236
Bolivia,2020-09-01,212820
Bolivia,2020-10-01,260850
Bolivia,2020-11-01,265610
