Country/Region,Year-Month,Case
Afghanistan,2020-01-01,0
Afghanistan,2020-02-01,0
Afghanistan,2020-03-01,26
Afghanistan,2020-04-01,2927
Afghanistan,2020-05-01,24129
Afghanistan,2020-06-01,184768
Afghanistan,2020-07-01,688117
Afghanistan,2020-08-01,843438
Afghanistan,2020-09-01,949104
Afghanistan,2020-10-01,1039280
Afghanistan,2020-11-01,1058724
Afghanistan,2020-12-01,1207801
Afghanistan,2021-01-01,1403684
Afghanistan,2021-02-01,1358287
Afghanistan,2021-03-01,1541980
Afghanistan,2021-04-01,1566429
Afghanistan,2021-05-01,1710784
Afghanistan,2021-06-01,1887517
Afghanistan,2021-07-01,2492541
Afghanistan,2021-08-01,330344
Afghanistan,2021-09-01,0
Afghanistan,2021-10-01,0
Albania,2020-01-01,0
Albania,2020-02-01,0
Albania,2020-03-01,241
Albania,2020-04-01,7902
Albania,2020-05-01,21760
Albania,2020-06-01,32742
Albania,2020-07-01,67686
Albania,2020-08-01,120294
Albania,2020-09-01,200469
Albania,2020-10-01,305370
Albania,2020-11-01,424181
Albania,2020-12-01,819127
Albania,2021-01-01,1250570
Albania,2021-02-01,1622660
Albania,2021-03-01,2525857
Albania,2021-04-01,3010039
Albania,2021-05-01,3795097
Albania,2021-06-01,3894898
Albania,2021-07-01,4032655
Albania,2021-08-01,521104
Albania,2021-09-01,0
Albania,2021-10-01,0
Algeria,2020-01-01,0
Algeria,2020-02-01,0
Algeria,2020-03-01,594
Algeria,2020-04-01,24072
Algeria,2020-05-01,109804
Algeria,2020-06-01,233399
Algeria,2020-07-01,467472
Algeria,2020-08-01,826991
Algeria,2020-09-01,1026971
Algeria,2020-10-01,1177057
Algeria,2020-11-01,1373852
Algeria,2020-12-01,1902624
Algeria,2021-01-01,2181520
Algeria,2021-02-01,2126923
Algeria,2021-03-01,2481861
Algeria,2021-04-01,2495622
Algeria,2021-05-01,2710001
Algeria,2021-06-01,2805260
Algeria,2021-07-01,3257465
Algeria,2021-08-01,468745
Algeria,2021-09-01,0
Algeria,2021-10-01,0
Andorra,2020-01-01,0
Andorra,2020-02-01,0
Andorra,2020-03-01,37
Andorra,2020-04-01,5636
Andorra,2020-05-01,18505
Andorra,2020-06-01,23239
Andorra,2020-07-01,24877
Andorra,2020-08-01,26677
Andorra,2020-09-01,32128
Andorra,2020-10-01,69118
Andorra,2020-11-01,143348
Andorra,2020-12-01,209606
Andorra,2021-01-01,253747
Andorra,2021-02-01,277194
Andorra,2021-03-01,336906
Andorra,2021-04-01,361236
Andorra,2021-05-01,407093
Andorra,2021-06-01,408532
Andorra,2021-07-01,430536
Andorra,2021-08-01,57234
Andorra,2021-09-01,0
Andorra,2021-10-01,0
Angola,2020-01-01,0
Angola,2020-02-01,0
Angola,2020-03-01,1
Angola,2020-04-01,129
Angola,2020-05-01,466
Angola,2020-06-01,1668
Angola,2020-07-01,5708
Angola,2020-08-01,22283
Angola,2020-09-01,41899
Angola,2020-10-01,94176
Angola,2020-11-01,196092
Angola,2020-12-01,286751
Angola,2021-01-01,473400
Angola,2021-02-01,527106
Angola,2021-03-01,618101
Angola,2021-04-01,668606
Angola,2021-05-01,802500
Angola,2021-06-01,924203
Angola,2021-07-01,1077983
Angola,2021-08-01,154728
Angola,2021-09-01,0
Angola,2021-10-01,0
Antigua and Barbuda,2020-01-01,0
Antigua and Barbuda,2020-02-01,0
Antigua and Barbuda,2020-03-01,0
Antigua and Barbuda,2020-04-01,125
Antigua and Barbuda,2020-05-01,561
Antigua and Barbuda,2020-06-01,629
Antigua and Barbuda,2020-07-01,1551
Antigua and Barbuda,2020-08-01,2558
Antigua and Barbuda,2020-09-01,2743
Antigua and Barbuda,2020-10-01,3163
Antigua and Barbuda,2020-11-01,3745
Antigua and Barbuda,2020-12-01,4343
Antigua and Barbuda,2021-01-01,4906
Antigua and Barbuda,2021-02-01,5943
Antigua and Barbuda,2021-03-01,18051
Antigua and Barbuda,2021-04-01,28597
Antigua and Barbuda,2021-05-01,35462
Antigua and Barbuda,2021-06-01,36515
Antigua and Barbuda,2021-07-01,37977
Antigua and Barbuda,2021-08-01,4944
Antigua and Barbuda,2021-09-01,0
Antigua and Barbuda,2021-10-01,0
Argentina,2020-01-01,0
Argentina,2020-02-01,0
Argentina,2020-03-01,875
Argentina,2020-04-01,19590
Argentina,2020-05-01,84929
Argentina,2020-06-01,335157
Argentina,2020-07-01,1556787
Argentina,2020-08-01,6029870
Argentina,2020-09-01,13413943
Argentina,2020-10-01,24249610
Argentina,2020-11-01,33912316
Argentina,2020-12-01,41776579
Argentina,2021-01-01,48805346
Argentina,2021-02-01,51092582
Argentina,2021-03-01,62045827
Argentina,2021-04-01,70049590
Argentina,2021-05-01,92046916
Argentina,2021-06-01,112898859
Argentina,2021-07-01,134893683
Argentina,2021-08-01,18397865
Argentina,2021-09-01,0
Argentina,2021-10-01,0
Armenia,2020-01-01,0
Armenia,2020-02-01,0
Armenia,2020-03-01,205
Armenia,2020-04-01,12116
Armenia,2020-05-01,63541
Armenia,2020-06-01,222445
Armenia,2020-07-01,671719
Armenia,2020-08-01,1059630
Armenia,2020-09-01,1251850
Armenia,2020-10-01,1490885
Armenia,2020-11-01,2395256
Armenia,2020-12-01,3964417
Armenia,2021-01-01,4695829
Armenia,2021-02-01,4507424
Armenia,2021-03-01,5186198
Armenia,2021-04-01,5573536
Armenia,2021-05-01,6432713
Armenia,2021-06-01,6461740
Armenia,2021-07-01,6764038
Armenia,2021-08-01,880846
Armenia,2021-09-01,0
Armenia,2021-10-01,0
Australia,2020-01-01,4
Australia,2020-02-01,195
Australia,2020-03-01,2307
Australia,2020-04-01,91483
Australia,2020-05-01,195488
Australia,2020-06-01,205100
Australia,2020-07-01,256329
Australia,2020-08-01,381635
Australia,2020-09-01,614861
Australia,2020-10-01,679910
Australia,2020-11-01,669764
Australia,2020-12-01,697478
Australia,2021-01-01,703156
Australia,2021-02-01,640112
Australia,2021-03-01,711784
Australia,2021-04-01,694114
Australia,2021-05-01,727969
Australia,2021-06-01,710896
Australia,2021-07-01,741869
Australia,2021-08-01,96640
Australia,2021-09-01,0
Australia,2021-10-01,0
Austria,2020-01-01,0
Austria,2020-02-01,0
Austria,2020-03-01,2883
Austria,2020-04-01,241616
Austria,2020-05-01,447388
Austria,2020-06-01,481557
Austria,2020-07-01,539229
Austria,2020-08-01,645006
Austria,2020-09-01,851070
Austria,2020-10-01,1521700
Austria,2020-11-01,4042516
Austria,2020-12-01,8916607
Austria,2021-01-01,11328881
Austria,2021-02-01,11533469
Austria,2021-03-01,14360090
Austria,2021-04-01,16404817
Austria,2021-05-01,18990884
Austria,2021-06-01,19029231
Austria,2021-07-01,19831920
Austria,2021-08-01,2575507
Austria,2021-09-01,0
Austria,2021-10-01,0
Azerbaijan,2020-01-01,0
Azerbaijan,2020-02-01,0
Azerbaijan,2020-03-01,211
Azerbaijan,2020-04-01,16061
Azerbaijan,2020-05-01,65682
Azerbaijan,2020-06-01,180444
Azerbaijan,2020-07-01,540422
Azerbaijan,2020-08-01,971973
Azerbaijan,2020-09-01,1081353
Azerbaijan,2020-10-01,1242714
Azerbaijan,2020-11-01,1707790
Azerbaijan,2020-12-01,3893078
Azerbaijan,2021-01-01,6568386
Azerbaijan,2021-02-01,6342572
Azerbaijan,2021-03-01,7194066
Azerbaijan,2021-04-01,7822456
Azerbaijan,2021-05-01,9679167
Azerbaijan,2021-06-01,9855040
Azerbaijan,2021-07-01,10269710
Azerbaijan,2021-08-01,1333581
Azerbaijan,2021-09-01,0
Azerbaijan,2021-10-01,0
Bahamas,2020-01-01,0
Bahamas,2020-02-01,0
Bahamas,2020-03-01,8
Bahamas,2020-04-01,281
Bahamas,2020-05-01,1201
Bahamas,2020-06-01,2124
Bahamas,2020-07-01,2797
Bahamas,2020-08-01,9579
Bahamas,2020-09-01,44339
Bahamas,2020-10-01,100515
Bahamas,2020-11-01,158704
Bahamas,2020-12-01,188608
Bahamas,2021-01-01,201910
Bahamas,2021-02-01,196424
Bahamas,2021-03-01,237050
Bahamas,2021-04-01,270035
Bahamas,2021-05-01,311703
Bahamas,2021-06-01,335406
Bahamas,2021-07-01,372939
Bahamas,2021-08-01,50533
Bahamas,2021-09-01,0
Bahamas,2021-10-01,0
Bahrain,2020-01-01,0
Bahrain,2020-02-01,0
Bahrain,2020-03-01,3031
Bahrain,2020-04-01,22965
Bahrain,2020-05-01,100507
Bahrain,2020-06-01,413158
Bahrain,2020-07-01,943774
Bahrain,2020-08-01,1345895
Bahrain,2020-09-01,1678279
Bahrain,2020-10-01,2262718
Bahrain,2020-11-01,2472695
Bahrain,2020-12-01,2718364
Bahrain,2021-01-01,2919786
Bahrain,2021-02-01,2969118
Bahrain,2021-03-01,3889112
Bahrain,2021-04-01,4504301
Bahrain,2021-05-01,5754577
Bahrain,2021-06-01,7329094
Bahrain,2021-07-01,8216450
Bahrain,2021-08-01,1068263
Bahrain,2021-09-01,0
Bahrain,2021-10-01,0
Bangladesh,2020-01-01,0
Bangladesh,2020-02-01,0
Bangladesh,2020-03-01,131
Bangladesh,2020-04-01,2059
Bangladesh,2020-05-01,139045
Bangladesh,2020-06-01,943347
Bangladesh,2020-07-01,3155922
Bangladesh,2020-08-01,5101749
Bangladesh,2020-09-01,7345683
Bangladesh,2020-10-01,9323916
Bangladesh,2020-11-01,10548940
Bangladesh,2020-12-01,13170237
Bangladesh,2021-01-01,14593894
Bangladesh,2021-02-01,13663390
Bangladesh,2021-03-01,16007124
Bangladesh,2021-04-01,18179618
Bangladesh,2021-05-01,22286214
Bangladesh,2021-06-01,23228388
Bangladesh,2021-07-01,28698436
Bangladesh,2021-08-01,4468216
Bangladesh,2021-09-01,0
Bangladesh,2021-10-01,0
Barbados,2020-01-01,0
Barbados,2020-02-01,0
Barbados,2020-03-01,0
Barbados,2020-04-01,531
Barbados,2020-05-01,1939
Barbados,2020-06-01,2515
Barbados,2020-07-01,2840
Barbados,2020-08-01,3719
Barbados,2020-09-01,4962
Barbados,2020-10-01,6093
Barbados,2020-11-01,7080
Barbados,2020-12-01,8622
Barbados,2021-01-01,17216
Barbados,2021-02-01,47620
Barbados,2021-03-01,96914
Barbados,2021-04-01,109263
Barbados,2021-05-01,120498
Barbados,2021-06-01,119003
Barbados,2021-07-01,126537
Barbados,2021-08-01,16982
Barbados,2021-09-01,0
Barbados,2021-10-01,0
Belarus,2020-01-01,0
Belarus,2020-02-01,0
Belarus,2020-03-01,340
Belarus,2020-04-01,18498
Belarus,2020-05-01,302001
Belarus,2020-06-01,955147
Belarus,2020-07-01,1742259
Belarus,2020-08-01,2068805
Belarus,2020-09-01,2183138
Belarus,2020-10-01,2464735
Belarus,2020-11-01,2937343
Belarus,2020-12-01,4462040
Belarus,2021-01-01,6404248
Belarus,2021-02-01,7213412
Belarus,2021-03-01,9162503
Belarus,2021-04-01,9941502
Belarus,2021-05-01,11388590
Belarus,2021-06-01,11982503
Belarus,2021-07-01,13195347
Belarus,2021-08-01,1769127
Belarus,2021-09-01,0
Belarus,2021-10-01,0
Belgium,2020-01-01,0
Belgium,2020-02-01,13
Belgium,2020-03-01,9055
Belgium,2020-04-01,216946
Belgium,2020-05-01,439785
Belgium,2020-06-01,496435
Belgium,2020-07-01,535284
Belgium,2020-08-01,558058
Belgium,2020-09-01,565779
Belgium,2020-10-01,663604
Belgium,2020-11-01,312851
Belgium,2020-12-01,0
Belgium,2021-01-01,0
Belgium,2021-02-01,0
Belgium,2021-03-01,0
Belgium,2021-04-01,0
Belgium,2021-05-01,0
Belgium,2021-06-01,0
Belgium,2021-07-01,0
Belgium,2021-08-01,0
Belgium,2021-09-01,0
Belgium,2021-10-01,0
Belize,2020-01-01,0
Belize,2020-02-01,0
Belize,2020-03-01,0
Belize,2020-04-01,61
Belize,2020-05-01,485
Belize,2020-06-01,497
Belize,2020-07-01,686
Belize,2020-08-01,1491
Belize,2020-09-01,20524
Belize,2020-10-01,51855
Belize,2020-11-01,79173
Belize,2020-12-01,184061
Belize,2021-01-01,331380
Belize,2021-02-01,325864
Belize,2021-03-01,371805
Belize,2021-04-01,364214
Belize,2021-05-01,382065
Belize,2021-06-01,375531
Belize,2021-07-01,403639
Belize,2021-08-01,53897
Belize,2021-09-01,0
Belize,2021-10-01,0
Benin,2020-01-01,0
Benin,2020-02-01,0
Benin,2020-03-01,1
Benin,2020-04-01,486
Benin,2020-05-01,2441
Benin,2020-06-01,6793
Benin,2020-07-01,20334
Benin,2020-08-01,49576
Benin,2020-09-01,56453
Benin,2020-10-01,67677
Benin,2020-11-01,76714
Benin,2020-12-01,92574
Benin,2021-01-01,100552
Benin,2021-02-01,109001
Benin,2021-03-01,172521
Benin,2021-04-01,207064
Benin,2021-05-01,240442
Benin,2021-06-01,238871
Benin,2021-07-01,249942
Benin,2021-08-01,32544
Benin,2021-09-01,0
Benin,2021-10-01,0
Bhutan,2020-01-01,0
Bhutan,2020-02-01,0
Bhutan,2020-03-01,0
Bhutan,2020-04-01,73
Bhutan,2020-05-01,166
Bhutan,2020-06-01,718
Bhutan,2020-07-01,2230
Bhutan,2020-08-01,3294
Bhutan,2020-09-01,5276
Bhutan,2020-10-01,8889
Bhutan,2020-11-01,10552
Bhutan,2020-12-01,12845
Bhutan,2021-01-01,18158
Bhutan,2021-02-01,23930
Bhutan,2021-03-01,26858
Bhutan,2021-04-01,26831
Bhutan,2021-05-01,35159
Bhutan,2021-06-01,46184
Bhutan,2021-07-01,64151
Bhutan,2021-08-01,9601
Bhutan,2021-09-01,0
Bhutan,2021-10-01,0
Bolivia,2020-01-01,0
Bolivia,2020-02-01,0
Bolivia,2020-03-01,0
Bolivia,2020-04-01,938
